,create_Date,last_update, Price ,sales,app_name,Created_by, usd , total , inr-tot ,
83,03-Dec-18, 2 Dec 18, $49 ,3,Rain With Saws,TapTapStudio, $67.00 , $147.00 ," ? 9,849.00 ",
84,03-Dec-18, 2 Dec 18, $16 ,4,ICE MONKEY RUNNER WITH ADMOB - IOS XCODE FILE,DiaaAldeen, $67.00 , $64.00 ," ? 4,288.00 ",
85,03-Dec-18, 2 Dec 18, $30 ,1,Chat Application for iOS,ivantoskov, $67.00 , $30.00 ," ? 2,010.00 ",
86,03-Dec-18, 2 Dec 18, $8 ,5,Scene Identifier - CoreML Application for iOS,ivantoskov, $67.00 , $40.00 ," ? 2,680.00 ",
87,03-Dec-18, 2 Dec 18, $16 ,4,SANTA RUNNER WITH ADMOB - IOS XCODE FILE,DiaaAldeen, $67.00 , $64.00 ," ? 4,288.00 ",
88,03-Dec-18, 29 Jan 19, $39 ,1,pure | iOS Text-only Anti-social Network App + Web version,xscoder, $67.00 , $39.00 ," ? 2,613.00 ",
89,03-Dec-18, 2 Dec 18, $19 ,6,WebMobile - Web2App IOS mobile app written in Swift 4 Xcode,agordn, $67.00 , $114.00 ," ? 7,638.00 ",
90,03-Dec-18, 2 Dec 18, $18 ,0,jimmy future city - Xcode _ AdMob,aminokee, $67.00 , $-   , ? -   ,
91,03-Dec-18, 2 Dec 18, $99 ,5,Casino Classic Game – Combo 3 in 1 Unity Template,UnityGamesDev, $67.00 , $495.00 ," ? 33,165.00 ",
92,03-Dec-18, 2 Dec 18, $39 ,0,Champions League News - UCL iOS App Template (Admob/Push),AppsVilla, $67.00 , $-   , ? -   ,
93,03-Dec-18, 2 Dec 18, $200 ,0,Trivial Quiz Game All In One,ulverbrook, $67.00 , $-   , ? -   ,
94,18-Nov-18, 5 Dec 18, $34 ,7,KING BURGER restaurant with Ingredients & delivery boy full IOS application,FreakTemplate, $67.00 , $238.00 ," ? 15,946.00 ",
95,18-Nov-18, 18 Nov 18, $18 ,2,KOALA JUMPER WITH ADMOB - IOS XCODE FILE,DiaaAldeen, $67.00 , $36.00 ," ? 2,412.00 ",
96,18-Nov-18, 18 Nov 18, $18 ,0,Monster Run-Ready To Publish- ADMOB INTEGRATED,aminokee, $67.00 , $-   , ? -   ,
97,18-Nov-18, 18 Nov 18, $39 ,1,Flight 3D + Admob + IOS + Buildbox Project + Ready to publish,jcpps, $67.00 , $39.00 ," ? 2,613.00 ",
98,18-Nov-18, 18 Nov 18, $18 ,0,DOGGY FARM WITH ADMOB - IOS XCODE FILE,DiaaAldeen, $67.00 , $-   , ? -   ,
99,18-Nov-18, 18 Nov 18, $19 ,1,MATH vs BLOCK XMAS EDITION + Admob + IOS Project + Buildbox Project + Easy to Reskin,jcpps, $67.00 , $19.00 ," ? 1,273.00 ",
100,18-Nov-18, 18 Nov 18, $34 ,1,SLIDE UP - BUILDBOX BBDOC ( Template ),EYE_SAW_FUTURE, $67.00 , $34.00 ," ? 2,278.00 ",
101,18-Nov-18, 18 Nov 18, $16 ,0,THE ELEVATOR WITH ADMOB - IOS XCODE FILE,DiaaAldeen, $67.00 , $-   , ? -   ,
102,18-Nov-18, 18 Nov 18, $20 ,1,SLIDE UP - Admob Ads ( XCode Project ),EYE_SAW_FUTURE, $67.00 , $20.00 ," ? 1,340.00 ",
103,18-Nov-18, 18 Nov 18, $17 ,7,Weadeer - Weather application for iPhone,ivantoskov, $67.00 , $119.00 ," ? 7,973.00 ",
104,10-Nov-18, 9 Nov 18, $49 ,4,Sport News - Football iOS App Template (Admob/Push),AppsVilla, $67.00 , $196.00 ," ? 13,132.00 ",
105,10-Nov-18, 9 Nov 18, $39 ,2,Cave Escape + IOS Project + Buildbox Project + Easy to Reskin,jcpps, $67.00 , $78.00 ," ? 5,226.00 ",
106,10-Nov-18, 9 Nov 18, $39 ,1,Alien Cube + Admob + IOS XCODE + Buildbox Project + Easy to Reskin,jcpps, $67.00 , $39.00 ," ? 2,613.00 ",
107,10-Nov-18, 2 Dec 18, $29 ,8,Quiz App iOS,Castle_Software, $67.00 , $232.00 ," ? 15,544.00 ",
108,03-Nov-18, 2 Nov 18, $14 ,6,SNOWBOARD WITH ADMOB - IOS XCODE FILE,DiaaAldeen, $67.00 , $84.00 ," ? 5,628.00 ",
109,03-Nov-18, 2 Nov 18, $16 ,3,MOTORBIKE WITH ADMOB - IOS XCODE FILE,DiaaAldeen, $67.00 , $48.00 ," ? 3,216.00 ",
110,03-Nov-18, 31 Jan 19, $35 ,15,bCards | iOS Virtual Business Cards Application,xscoder, $67.00 , $525.00 ," ? 35,175.00 ",
111,03-Nov-18, 2 Nov 18, $29 ,1,Super Mega Bundle 2018 - 3 Games - IOS,aminokee, $67.00 , $29.00 ," ? 1,943.00 ",
112,03-Nov-18, 2 Nov 18, $49 ,2,Box Jumper,TapTapStudio, $67.00 , $98.00 ," ? 6,566.00 ",
113,03-Nov-18, 2 Nov 18, $14 ,4,ABC KIDS WITH ADMOB - IOS XCODE FILE,DiaaAldeen, $67.00 , $56.00 ," ? 3,752.00 ",
114,03-Nov-18, 2 Nov 18, $15 ,4,Hot Spin - Casino / Slot Machine iOS App Template,AppsVilla, $67.00 , $60.00 ," ? 4,020.00 ",
115,03-Nov-18, 2 Nov 18, $19 ,3,MAD DRIVER WITH ADMOB - IOS XCODE FILE,DiaaAldeen, $67.00 , $57.00 ," ? 3,819.00 ",
116,03-Nov-18, 2 Nov 18, $18 ,0,Car Dealer Classified iOS,sanljiljan, $67.00 , $-   , ? -   ,
117,03-Nov-18, 1 Feb 19, $39 ,4,PenPals | iOS Real Letters Social Application,xscoder, $67.00 , $156.00 ," ? 10,452.00 ",
118,03-Nov-18, 2 Nov 18, $18 ,4,ZIG ZAG BIRD WITH ADMOB - IOS XCODE FILE,DiaaAldeen, $67.00 , $72.00 ," ? 4,824.00 ",
119,03-Nov-18, 2 Nov 18, $19 ,3,Color Snake Arcade Game Template + Admob (Ios) Easy to Reskine,NiceGame, $67.00 , $57.00 ," ? 3,819.00 ",
120,03-Nov-18, 15 Dec 18, $39 ,65,Trid - City Guide iOS Native with Admin Panel,, $67.00 ," $2,535.00 "," ? 1,69,845.00 ",
121,30-Oct-18, 2 Dec 18, $83 ,2,MoodMe Metal SceneKit Video Recorder,moodme-chandra, $67.00 , $166.00 ," ? 11,122.00 ",
122,23-Oct-18, 22 Oct 18, $49 ,6,Segment,TapTapStudio, $67.00 , $294.00 ," ? 19,698.00 ",
123,23-Oct-18, 25 Oct 18, $24 ,9,Smart Scanner and Generator Barcode | QRCode,elsnertechnologies, $67.00 , $216.00 ," ? 14,472.00 ",
124,23-Oct-18, 22 Oct 18, $18 ,0,BIRD UP WITH ADMOB - IOS XCODE FILE,DiaaAldeen, $67.00 , $-   , ? -   ,
125,23-Oct-18, 4 Feb 19, $34 ,16,Quotes iOS App with Admin Panel,dinosoftlabsthemes, $67.00 , $544.00 ," ? 36,448.00 ",
126,23-Oct-18, 22 Oct 18, $18 ,3,FLY UP WITH ADMOB - IOS XCODE FILE,DiaaAldeen, $67.00 , $54.00 ," ? 3,618.00 ",
127,23-Oct-18, 22 Oct 18, $14 ,11,GlowingBall - Buildbox template,rizwaanashraf, $67.00 , $154.00 ," ? 10,318.00 ",
128,23-Oct-18, 8 Mar 19, $79 ,33,Nokri - Job Board Native IOS App,scriptsbundle, $67.00 ," $2,607.00 "," ? 1,74,669.00 ",
129,23-Oct-18, 22 Oct 18, $25 ,12,My Coloring Book Game For Kids + IOS Version,iQueen, $67.00 , $300.00 ," ? 20,100.00 ",
130,16-Oct-18, 15 Oct 18, $29 ,10,Apex Flight - Buildbox Template,rizwaanashraf, $67.00 , $290.00 ," ? 19,430.00 ",
131,16-Oct-18, 15 Oct 18, $18 ,4,MATH SCHOOL WITH ADMOB - IOS XCODE FILE,DiaaAldeen, $67.00 , $72.00 ," ? 4,824.00 ",
